2026-05-22 21:16:13,143 WARNING [__main__] Using in-memory storage. Reminders will be lost on restart.
2026-05-22 21:16:13,947 INFO [__main__] Starting Telegram reminder bot
2026-05-22 21:16:14,683 INFO [apscheduler.scheduler] Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-22 21:16:14,685 INFO [apscheduler.scheduler] Added job "ReminderScheduler.dispatch_due_reminders" to job store "default"
2026-05-22 21:16:14,685 INFO [apscheduler.scheduler] Scheduler started
2026-05-22 21:16:14,686 INFO [app.scheduler] Reminder scheduler started
2026-05-22 21:26:14,687 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:26:44 +07)" executed successfully
2026-05-22 21:26:44,694 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:27:14 +07)" (scheduled at 2026-05-22 21:26:44.683797+07:00)
2026-05-22 21:26:44,694 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:27:14 +07)" executed successfully
2026-05-22 21:27:14,695 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:27:44 +07)" (scheduled at 2026-05-22 21:27:14.683797+07:00)
2026-05-22 21:27:14,698 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:27:44 +07)" executed successfully
2026-05-22 21:27:44,696 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:28:14 +07)" (scheduled at 2026-05-22 21:27:44.683797+07:00)
2026-05-22 21:27:44,699 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:28:14 +07)" executed successfully
2026-05-22 21:28:14,698 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:28:44 +07)" (scheduled at 2026-05-22 21:28:14.683797+07:00)
2026-05-22 21:28:14,701 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:28:44 +07)" executed successfully
2026-05-22 21:28:44,698 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:29:14 +07)" (scheduled at 2026-05-22 21:28:44.683797+07:00)
2026-05-22 21:28:44,701 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:29:14 +07)" executed successfully
2026-05-22 21:29:14,695 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:29:44 +07)" (scheduled at 2026-05-22 21:29:14.683797+07:00)
2026-05-22 21:29:14,698 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:29:44 +07)" executed successfully
2026-05-22 21:29:44,695 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:30:14 +07)" (scheduled at 2026-05-22 21:29:44.683797+07:00)
2026-05-22 21:29:44,697 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:30:14 +07)" executed successfully
2026-05-22 21:30:14,698 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:30:44 +07)" (scheduled at 2026-05-22 21:30:14.683797+07:00)
2026-05-22 21:30:14,700 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:30:44 +07)" executed successfully
2026-05-22 21:30:44,698 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:31:14 +07)" (scheduled at 2026-05-22 21:30:44.683797+07:00)
2026-05-22 21:30:44,700 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:31:14 +07)" executed successfully
2026-05-22 21:31:14,686 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:31:44 +07)" (scheduled at 2026-05-22 21:31:14.683797+07:00)
2026-05-22 21:31:14,688 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:31:44 +07)" executed successfully
2026-05-22 21:31:44,699 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:32:14 +07)" (scheduled at 2026-05-22 21:31:44.683797+07:00)
2026-05-22 21:31:44,701 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:32:14 +07)" executed successfully
2026-05-22 21:32:14,693 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:32:44 +07)" (scheduled at 2026-05-22 21:32:14.683797+07:00)
2026-05-22 21:32:14,695 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:32:44 +07)" executed successfully
2026-05-22 21:32:44,687 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:33:14 +07)" (scheduled at 2026-05-22 21:32:44.683797+07:00)
2026-05-22 21:32:44,689 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:33:14 +07)" executed successfully
2026-05-22 21:33:14,694 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:33:44 +07)" (scheduled at 2026-05-22 21:33:14.683797+07:00)
2026-05-22 21:33:14,696 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:33:44 +07)" executed successfully
2026-05-22 21:33:44,692 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:34:14 +07)" (scheduled at 2026-05-22 21:33:44.683797+07:00)
2026-05-22 21:33:44,695 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:34:14 +07)" executed successfully
2026-05-22 21:34:14,694 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:34:44 +07)" (scheduled at 2026-05-22 21:34:14.683797+07:00)
2026-05-22 21:34:14,697 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:34:44 +07)" executed successfully
2026-05-22 21:34:44,684 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:35:14 +07)" (scheduled at 2026-05-22 21:34:44.683797+07:00)
2026-05-22 21:34:44,686 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:35:14 +07)" executed successfully
2026-05-22 21:35:14,690 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:35:44 +07)" (scheduled at 2026-05-22 21:35:14.683797+07:00)
2026-05-22 21:35:14,693 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:35:44 +07)" executed successfully
2026-05-22 21:35:44,694 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:36:14 +07)" (scheduled at 2026-05-22 21:35:44.683797+07:00)
2026-05-22 21:35:44,695 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:36:14 +07)" executed successfully
2026-05-22 21:36:14,688 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:36:44 +07)" (scheduled at 2026-05-22 21:36:14.683797+07:00)
2026-05-22 21:36:14,689 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:36:44 +07)" executed successfully
2026-05-22 21:36:44,699 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:37:14 +07)" (scheduled at 2026-05-22 21:36:44.683797+07:00)
2026-05-22 21:36:44,701 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:37:14 +07)" executed successfully
2026-05-22 21:37:14,695 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:37:44 +07)" (scheduled at 2026-05-22 21:37:14.683797+07:00)
2026-05-22 21:37:14,697 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:37:44 +07)" executed successfully
2026-05-22 21:37:44,687 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:38:14 +07)" (scheduled at 2026-05-22 21:37:44.683797+07:00)
2026-05-22 21:37:44,690 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:38:14 +07)" executed successfully
2026-05-22 21:38:14,689 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:38:44 +07)" (scheduled at 2026-05-22 21:38:14.683797+07:00)
2026-05-22 21:38:14,691 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:38:44 +07)" executed successfully
2026-05-22 21:38:44,689 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:39:14 +07)" (scheduled at 2026-05-22 21:38:44.683797+07:00)
2026-05-22 21:38:44,691 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:39:14 +07)" executed successfully
2026-05-22 21:39:14,686 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:39:44 +07)" (scheduled at 2026-05-22 21:39:14.683797+07:00)
2026-05-22 21:39:14,688 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:39:44 +07)" executed successfully
2026-05-22 21:39:44,689 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:40:14 +07)" (scheduled at 2026-05-22 21:39:44.683797+07:00)
2026-05-22 21:39:44,691 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:40:14 +07)" executed successfully
2026-05-22 21:40:14,689 INFO [apscheduler.executors.default] Running job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:40:44 +07)" (scheduled at 2026-05-22 21:40:14.683797+07:00)
2026-05-22 21:40:14,691 INFO [apscheduler.executors.default] Job "ReminderScheduler.dispatch_due_reminders (trigger: interval[0:00:30], next run at: 2026-05-22 21:40:44 +07)" executed successfully
